cycle,pc,alu,valu,load,store,flow
0,0,0,0,2,0,0
1,1,0,0,2,0,1
2,2,3,2,2,0,1
3,3,4,3,2,2,1
4,4,2,6,2,2,1
5,5,10,6,2,2,1
6,6,1,6,2,2,1
7,10503,10,6,2,2,1
8,10504,12,6,2,2,1
9,10505,12,6,2,2,1
10,10506,12,6,2,2,1
11,10507,12,6,2,2,1
12,10508,12,6,2,2,1
13,10509,12,6,2,2,1
14,10510,12,6,2,2,1
15,10511,12,6,2,2,1
16,10512,12,6,2,2,1
17,10513,12,6,2,2,1
18,10514,12,6,2,2,1
19,10515,12,6,2,2,1
20,10516,12,6,2,2,1
21,10517,12,6,2,2,1
22,10518,12,6,2,2,1
23,10519,12,6,2,2,1
24,10520,12,6,2,2,1
25,10521,12,6,2,2,1
26,10522,12,6,2,2,1
27,10523,12,6,2,2,1
28,10524,12,6,2,2,1
29,10525,12,6,2,2,1
30,10526,12,6,2,2,1
31,10527,12,6,2,2,1
32,10528,12,6,2,2,1
33,10529,12,6,2,2,1
34,10530,12,6,2,2,1
35,10531,12,6,2,2,1
36,10532,12,6,2,2,1
37,10533,12,6,2,2,1
38,10534,12,6,2,2,1
39,10535,12,6,2,2,1
40,10536,12,6,2,2,1
41,10537,12,6,2,2,1
42,10538,12,6,2,2,1
43,2837,12,6,2,2,1
44,2900,12,6,2,2,1
45,3009,12,6,2,2,1
46,3065,12,6,2,2,1
47,3097,12,6,2,2,1
48,3168,12,6,2,2,1
49,3225,12,6,2,2,1
50,3319,12,6,2,2,1
51,3383,12,6,2,2,1
52,3451,12,6,2,2,1
53,3476,12,6,2,2,1
54,3564,12,6,2,2,1
55,3643,12,6,2,2,1
56,3708,12,6,2,2,1
57,3724,12,6,2,2,1
58,3837,12,6,2,2,1
59,10539,12,6,2,2,1
60,10540,12,6,2,2,1
61,149,12,6,2,2,1
62,152,12,6,2,2,1
63,161,12,6,2,2,1
64,173,12,6,2,2,1
65,180,12,6,2,2,1
66,186,12,6,2,2,1
67,197,12,6,2,2,1
68,200,12,6,2,2,1
69,10541,12,6,2,2,1
70,10542,12,6,2,2,1
71,10543,12,6,2,2,1
72,10544,12,6,2,2,1
