cycle,pc,alu,valu,load,store,flow
0,0,0,0,2,0,0
1,1,0,0,2,0,1
2,2,3,2,2,0,1
3,3,4,3,2,2,1
4,4,2,6,2,2,1
5,5,10,6,2,2,1
6,6,1,6,2,2,1
7,9991,10,6,2,2,1
8,9992,12,6,2,2,1
9,9993,12,6,2,2,1
10,9994,12,6,2,2,1
11,9995,12,6,2,2,1
12,9996,12,6,2,2,1
13,9997,12,6,2,2,1
14,9998,12,6,2,2,1
15,9999,12,6,2,2,1
16,10000,12,6,2,2,1
17,10001,12,6,2,2,1
18,10002,12,6,2,2,1
19,10003,12,6,2,2,1
20,10004,12,6,2,2,1
21,10005,12,6,2,2,1
22,10006,12,6,2,2,1
23,10007,12,6,2,2,1
24,10008,12,6,2,2,1
25,10009,12,6,2,2,1
26,10010,12,6,2,2,1
27,10011,12,6,2,2,1
28,10012,12,6,2,2,1
29,10013,12,6,2,2,1
30,10014,12,6,2,2,1
31,10015,12,6,2,2,1
32,10016,12,6,2,2,1
33,10017,12,6,2,2,1
34,10018,12,6,2,2,1
35,10019,12,6,2,2,1
36,10020,12,6,2,2,1
37,10021,12,6,2,2,1
38,10022,12,6,2,2,1
39,10023,12,6,2,2,1
40,10024,12,6,2,2,1
41,10025,12,6,2,2,1
42,10026,12,6,2,2,1
43,2837,12,6,2,2,1
44,2900,12,6,2,2,1
45,3009,12,6,2,2,1
46,3065,12,6,2,2,1
47,3097,12,6,2,2,1
48,3168,12,6,2,2,1
49,3225,12,6,2,2,1
50,3319,12,6,2,2,1
51,3383,12,6,2,2,1
52,3451,12,6,2,2,1
53,3476,12,6,2,2,1
54,3564,12,6,2,2,1
55,3643,12,6,2,2,1
56,3708,12,6,2,2,1
57,3724,12,6,2,2,1
58,3837,12,6,2,2,1
59,10027,12,6,2,2,1
60,10028,12,6,2,2,1
61,149,12,6,2,2,1
62,152,12,6,2,2,1
63,161,12,6,2,2,1
64,173,12,6,2,2,1
65,180,12,6,2,2,1
66,186,12,6,2,2,1
67,197,12,6,2,2,1
68,200,12,6,2,2,1
69,10029,12,6,2,2,1
70,10030,12,6,2,2,1
71,10031,12,6,2,2,1
72,10032,12,6,2,2,1
