cycle,pc,alu,valu,load,store,flow
0,0,0,0,2,0,1
1,10254,0,0,2,0,1
2,10255,0,2,2,0,0
3,10256,1,5,2,0,0
4,10257,11,5,2,0,0
5,10258,12,6,2,2,0
6,10259,12,6,2,2,0
7,10260,12,6,2,2,0
8,10261,12,6,2,2,0
9,10262,12,6,2,2,0
10,10263,12,6,1,2,0
11,10264,12,6,0,2,0
12,10265,12,6,1,2,0
13,10266,12,6,2,2,1
14,10267,12,6,1,2,1
15,10268,12,6,1,2,0
16,10269,12,6,2,2,1
17,10270,12,6,2,2,1
18,10271,12,6,2,2,1
19,10272,12,6,2,2,1
20,10273,12,6,2,2,1
21,10274,12,6,2,2,1
22,10275,12,6,1,2,1
23,10276,12,6,2,2,1
24,10277,12,6,2,2,1
25,10278,12,6,2,2,1
26,10279,12,6,2,2,1
27,10280,12,6,2,2,1
28,10281,12,6,2,2,1
29,10282,12,6,2,2,1
30,10283,12,6,2,2,1
31,10284,12,6,2,2,1
32,10285,12,6,2,2,1
33,10286,12,6,2,2,1
34,10287,12,6,2,2,1
35,10288,12,6,1,2,1
36,10289,12,6,2,2,1
37,10290,12,6,2,2,1
38,10291,12,6,2,2,1
39,10292,12,6,2,2,1
40,10293,12,6,2,2,1
41,2588,12,6,2,2,1
42,2651,12,6,2,2,1
43,2760,12,6,2,2,1
44,2816,12,6,2,2,1
45,2848,12,6,2,2,1
46,2919,12,6,2,2,1
47,2976,12,6,2,2,1
48,3070,12,6,2,2,1
49,3134,12,6,2,2,1
50,3202,12,6,2,2,1
51,3227,12,6,2,2,1
52,3315,12,6,2,2,1
53,3394,12,6,2,2,1
54,3459,12,6,2,2,1
55,3475,12,6,2,2,1
56,3588,12,6,2,2,1
57,10294,12,6,2,2,1
58,10295,12,6,2,2,1
59,10296,12,6,2,2,1
60,10297,12,6,2,2,1
61,10298,12,6,2,2,1
62,10299,12,6,2,2,1
63,149,12,6,2,2,1
64,152,12,6,2,2,1
65,161,12,6,2,2,1
66,173,12,6,2,2,1
67,180,12,6,2,2,1
68,186,12,6,2,2,1
69,197,12,6,2,2,1
70,200,12,6,2,2,1
71,10300,12,6,2,2,1
72,10301,12,6,2,2,1
73,10302,12,6,2,2,1
74,10303,12,6,2,2,1
75,10304,12,6,2,2,1
76,10305,12,6,2,2,1
77,10306,12,6,2,2,1
78,10307,12,6,2,2,1
79,10308,12,6,2,2,1
80,10309,12,6,2,2,1
81,10310,12,6,2,2,1
82,20,12,6,2,2,1
83,26,12,6,2,2,1
84,35,12,6,2,2,1
85,45,12,6,2,2,1
86,51,12,6,2,2,1
87,61,12,6,2,2,1
88,68,12,6,2,2,1
89,70,12,6,2,2,1
90,10311,12,6,2,2,1
91,10312,12,6,2,2,1
92,10313,12,6,2,2,1
93,10314,12,6,2,2,1
94,10315,12,6,2,2,1
95,10316,12,6,2,2,1
96,207,12,6,2,2,1
97,214,12,6,2,2,1
98,222,12,6,2,2,1
99,235,12,6,2,2,1
100,243,12,6,2,2,1
101,247,12,6,2,2,1
102,256,12,6,2,2,1
103,264,12,6,2,2,1
104,10317,12,6,2,2,1
105,10318,12,6,2,2,1
106,10319,12,6,2,2,1
107,10320,12,6,2,0,1
108,10321,12,6,2,0,1
109,10322,12,6,2,0,1
110,10323,12,6,2,0,1
111,10324,12,6,2,2,1
112,10325,12,6,2,2,1
113,10326,12,6,2,2,1
114,10327,12,6,2,2,1
115,10328,12,6,2,0,1
116,10329,12,6,2,0,1
117,10330,12,6,2,0,1
118,10331,12,6,2,0,1
119,10332,12,6,2,2,1
120,10333,12,6,2,2,1
121,10334,12,6,2,2,1
122,10335,12,6,2,2,1
123,10336,12,6,2,0,1
124,82,12,6,2,2,1
125,88,12,6,2,2,1
126,96,12,6,2,2,1
127,109,12,6,2,2,1
128,116,12,6,2,2,1
129,119,12,6,2,2,1
130,129,12,6,2,2,1
131,141,12,6,2,2,1
132,10337,12,6,2,0,1
133,10338,12,6,2,2,1
134,10339,12,6,2,2,1
135,3607,12,6,2,2,1
136,3719,12,6,2,2,1
137,3780,12,6,2,2,1
138,3834,12,6,2,2,1
139,3898,12,6,2,2,1
140,3946,12,6,2,2,1
141,4033,12,6,2,2,1
142,4063,12,6,2,2,1
143,10340,12,6,2,2,1
144,10341,12,6,2,2,1
145,4122,12,6,2,2,1
146,4211,12,6,2,2,1
147,4259,12,6,2,2,1
148,4343,12,6,2,2,1
149,4398,12,6,2,2,1
150,4478,12,6,2,2,1
151,4499,12,6,2,2,1
152,4558,12,6,2,2,1
153,10342,12,6,2,0,1
154,10343,12,6,2,0,1
155,10344,12,6,2,2,1
156,10345,12,6,2,2,1
157,10346,12,6,2,2,1
158,10347,12,6,2,2,1
159,10348,12,6,2,0,1
160,10349,12,6,2,2,1
161,10350,12,6,2,2,1
162,10351,12,6,2,2,1
163,10352,12,6,2,2,1
164,10353,12,6,2,0,1
165,10354,11,6,2,0,1
166,10355,12,6,2,0,1
167,272,12,6,2,2,1
168,280,12,6,2,2,1
169,292,11,6,2,2,1
170,295,12,6,2,2,1
171,302,12,6,2,2,1
172,317,11,6,2,2,1
173,318,12,6,2,2,1
174,326,12,6,2,2,1
175,10356,12,6,2,0,1
176,10357,10,6,2,0,1
177,334,12,6,2,2,1
178,343,12,6,2,2,1
179,351,12,6,2,2,1
180,364,12,6,2,2,1
181,372,12,6,2,2,1
182,379,12,6,2,2,1
183,386,12,6,2,2,1
184,394,12,6,2,2,1
185,10358,12,6,2,0,1
186,10359,12,6,2,0,1
187,10360,12,6,2,0,1
188,10361,12,6,2,0,1
189,10362,12,6,2,0,1
190,10363,12,6,2,0,1
191,401,12,6,2,2,1
192,413,12,6,2,2,1
193,414,12,6,2,2,1
194,427,12,6,2,2,1
195,436,12,6,2,2,1
196,441,12,6,2,2,1
197,450,12,6,2,2,1
198,458,12,6,2,2,1
199,10364,10,6,2,0,0
200,10365,12,6,2,0,1
201,10366,12,6,2,0,1
202,10367,12,6,2,0,0
203,10368,12,6,2,0,0
204,10369,11,6,2,0,1
205,10370,12,6,2,0,0
206,10371,12,6,2,0,1
207,10372,12,6,2,0,1
208,10373,12,6,2,0,1
209,10374,12,6,2,0,1
210,10375,12,6,2,0,1
211,10376,12,6,2,0,1
212,10377,12,6,2,0,1
213,10378,12,6,2,0,1
214,10379,12,6,2,0,1
215,10380,12,6,2,0,1
216,10381,12,6,2,0,1
217,10382,12,6,2,0,1
218,10383,12,6,2,0,1
219,10384,12,6,2,0,1
220,10385,12,6,2,0,1
221,10386,12,6,2,0,1
222,10387,12,6,2,0,1
223,10388,12,6,2,0,1
224,10389,12,6,2,0,1
225,10390,12,6,2,0,1
226,10391,12,6,2,0,1
227,10392,12,6,2,0,1
228,10393,12,6,2,0,1
229,10394,12,6,2,0,1
230,467,12,6,2,2,1
231,475,12,6,2,2,1
232,480,12,6,2,2,1
233,487,12,6,2,2,1
234,498,12,6,2,2,1
235,505,12,6,2,2,1
236,515,12,6,2,2,1
237,520,12,6,2,2,1
238,10395,12,6,2,0,1
239,10396,12,6,2,0,1
240,10397,12,6,2,0,1
241,10398,12,6,2,0,1
242,10399,12,6,2,0,1
243,10400,12,6,2,0,1
244,10401,12,6,2,0,1
245,10402,12,6,2,0,1
246,10403,12,6,2,0,1
247,10404,12,6,2,0,1
248,10405,12,6,2,0,1
249,10406,12,6,2,0,1
250,4659,12,6,2,2,1
251,4726,12,6,2,2,1
252,4786,12,6,2,2,1
253,4866,12,6,2,2,1
254,4936,12,6,2,2,1
255,4945,12,6,2,2,1
256,5017,12,6,2,2,1
257,5078,12,6,2,2,1
258,10407,12,6,2,0,1
259,10408,12,6,2,0,1
260,10409,12,6,2,0,1
261,530,12,6,2,2,1
262,537,12,6,2,2,1
263,548,12,6,2,2,1
264,555,12,6,2,2,1
265,560,12,6,2,2,1
266,572,12,6,2,2,1
267,577,12,6,2,2,1
268,583,12,6,2,2,1
269,10410,12,6,2,0,1
270,10411,12,6,2,0,1
271,10412,12,6,2,0,1
272,10413,12,6,2,0,1
273,10414,12,6,2,0,1
274,10415,12,6,2,0,1
275,10416,12,6,2,0,1
276,10417,12,6,2,0,1
277,10418,12,6,2,0,1
278,10419,12,6,2,0,1
279,10420,12,6,2,0,1
280,10421,12,6,2,0,1
281,10422,12,6,2,0,1
282,10423,12,6,2,0,1
283,10424,12,6,2,0,1
284,10425,12,6,2,0,1
285,10426,12,6,2,0,1
286,10427,12,6,2,0,1
287,10428,12,6,2,0,1
288,10429,12,6,2,0,1
289,10430,12,6,2,0,1
290,10431,12,6,2,0,1
291,10432,12,6,2,0,1
292,10433,12,6,2,0,1
293,592,12,6,2,2,1
294,599,12,6,2,2,1
295,613,12,6,2,2,1
296,614,12,6,2,2,1
297,629,12,6,2,2,1
298,632,12,6,2,2,1
299,645,12,6,2,2,1
300,650,12,6,2,2,1
301,10434,12,6,2,0,1
302,10435,12,6,2,0,1
303,5172,12,6,2,2,1
304,5231,12,6,2,2,1
305,5299,12,6,2,2,1
306,5383,12,6,2,2,1
307,5437,12,6,2,2,1
308,5467,12,6,2,2,1
309,5547,12,6,2,2,1
310,5582,12,6,2,2,1
311,10436,12,6,2,0,1
312,10437,12,6,2,0,1
313,10438,12,6,2,0,1
314,10439,12,6,2,0,1
315,10440,12,6,2,0,1
316,10441,12,6,2,0,1
317,10442,12,6,2,0,1
318,10443,12,6,2,0,1
319,10444,12,6,2,0,1
320,655,12,6,2,2,1
321,662,12,6,2,2,1
322,675,12,6,2,2,1
323,685,12,6,2,2,1
324,686,12,6,2,2,1
325,701,12,6,2,2,1
326,708,12,6,2,2,1
327,711,12,6,2,2,1
328,10445,12,6,2,0,0
329,10446,12,6,2,0,1
330,10447,12,6,2,0,0
331,10448,12,6,2,0,0
332,10449,12,6,2,0,1
333,10450,12,6,2,0,1
334,10451,12,6,2,0,1
335,10452,12,6,2,0,1
336,10453,12,6,2,0,1
337,10454,12,6,2,0,1
338,10455,12,6,2,0,1
339,10456,12,6,2,0,1
340,10457,12,6,2,0,1
341,10458,12,6,2,0,0
342,10459,12,6,2,0,1
343,10460,12,6,2,0,1
344,10461,12,6,2,0,1
345,10462,12,6,2,0,1
346,10463,12,6,2,0,0
347,10464,12,6,2,0,1
348,10465,12,6,2,0,1
349,722,12,6,2,2,1
350,729,12,6,2,2,1
351,735,12,6,2,2,1
352,746,12,6,2,2,1
353,752,12,6,2,2,1
354,764,12,6,2,2,1
355,767,12,6,2,2,1
356,781,12,6,2,2,1
357,10466,12,6,2,0,0
358,10467,12,6,2,0,1
359,10468,12,6,2,0,1
360,10469,12,6,2,0,1
361,10470,12,6,2,0,0
362,10471,12,6,2,0,0
363,10472,12,6,2,0,1
364,10473,12,6,2,0,1
365,10474,12,6,2,0,1
366,10475,12,6,2,0,1
367,10476,12,6,2,0,1
368,10477,12,6,2,0,1
369,5700,12,6,2,2,1
370,5720,12,6,2,2,1
371,5824,12,6,2,2,1
372,5870,12,6,2,2,1
373,5962,12,6,2,2,1
374,5977,12,6,2,2,1
375,6031,12,6,2,2,1
376,6153,12,6,2,2,1
377,10478,12,6,2,0,1
378,10479,12,6,2,0,1
379,10480,12,6,2,0,1
380,10481,12,6,2,0,1
381,10482,12,6,2,0,1
382,10483,12,6,2,0,1
383,10484,12,6,2,0,1
384,10485,12,6,2,0,1
385,10486,12,6,2,0,1
386,10487,12,6,2,0,1
387,10488,12,6,2,0,1
388,10489,12,6,2,0,1
389,10490,12,6,2,0,1
390,10491,12,6,2,0,1
391,10492,12,6,2,0,1
392,10493,12,6,2,0,1
393,10494,12,6,2,0,1
394,787,12,6,2,2,1
395,793,12,6,2,2,1
396,803,12,6,2,2,1
397,811,12,6,2,2,1
398,821,12,6,2,2,1
399,827,12,6,2,2,1
400,835,12,6,2,2,1
401,839,12,6,2,2,1
402,10495,12,6,2,0,0
403,10496,12,6,2,0,1
404,10497,12,6,2,0,0
405,10498,12,6,2,0,1
406,10499,12,6,2,0,0
407,10500,12,6,2,0,1
408,10501,12,6,2,0,1
409,10502,12,6,2,0,0
410,10503,12,6,2,0,1
411,10504,12,6,2,0,1
412,10505,12,6,2,0,1
413,10506,12,6,2,0,1
414,10507,12,6,2,0,1
415,10508,12,6,2,0,1
416,10509,12,6,2,0,0
417,10510,12,6,2,0,1
418,10511,12,6,2,0,1
419,10512,12,6,2,0,1
420,10513,12,6,2,0,1
421,10514,12,6,2,0,1
422,10515,12,6,2,0,0
423,10516,12,6,2,0,1
424,10517,12,6,2,0,1
425,849,12,6,2,2,1
426,860,12,6,2,2,1
427,868,12,6,2,2,1
428,875,12,6,2,2,1
429,880,12,6,2,2,1
430,888,12,6,2,2,1
431,899,12,6,2,2,1
432,904,12,6,2,2,1
433,10518,12,6,2,0,1
434,10519,12,6,2,0,1
435,10520,12,6,2,0,1
436,10521,12,6,2,0,1
437,10522,12,6,2,0,1
438,10523,12,6,2,0,1
439,10524,12,6,2,0,1
440,10525,12,6,2,0,1
441,10526,12,6,2,0,1
442,10527,12,6,2,0,1
443,10528,12,6,2,0,1
444,10529,12,6,2,0,1
445,10530,12,6,2,0,1
446,6180,12,6,2,2,1
447,6244,12,6,2,2,1
448,6313,12,6,2,2,1
449,6373,12,6,2,2,1
450,6434,12,6,2,2,1
451,6535,12,6,2,2,1
452,6565,12,6,2,2,1
453,6607,12,6,2,2,1
454,10531,12,6,2,0,1
455,10532,12,6,2,0,1
456,10533,12,6,2,0,1
457,10534,12,6,2,0,1
458,10535,12,6,2,0,1
459,10536,12,6,2,0,1
460,10537,12,6,2,0,1
461,10538,12,6,2,0,1
462,10539,12,6,2,0,1
463,10540,12,6,2,0,1
464,10541,12,6,2,0,1
465,10542,12,6,2,0,1
466,10543,12,6,2,0,1
467,10544,12,6,2,0,1
468,10545,12,6,2,0,1
469,911,12,6,2,2,1
470,925,12,6,2,2,1
471,926,12,6,2,2,1
472,936,12,6,2,2,1
473,946,12,6,2,2,1
474,956,12,6,2,2,1
475,965,12,6,2,2,1
476,973,12,6,2,2,1
477,10546,12,6,2,0,1
478,10547,12,6,2,0,1
479,10548,12,6,2,0,1
480,10549,12,6,2,0,1
481,10550,12,6,2,0,1
482,10551,12,6,2,0,1
483,10552,12,6,2,0,1
484,10553,12,6,2,0,1
485,10554,12,6,2,0,1
486,10555,12,6,2,0,1
487,10556,12,6,2,0,1
488,10557,12,6,2,0,1
489,10558,12,6,2,0,1
490,10559,12,6,2,0,1
491,10560,12,6,2,0,1
492,10561,12,6,2,0,1
493,10562,12,6,2,0,1
494,10563,12,6,2,0,1
495,10564,12,6,2,0,1
496,10565,12,6,2,0,1
497,10566,12,6,2,0,1
498,10567,12,6,2,0,1
499,10568,12,6,2,0,1
500,10569,12,6,2,0,1
501,10570,12,6,2,0,1
502,10571,12,6,2,0,1
503,10572,12,6,2,0,1
504,10573,12,6,2,0,1
505,10574,12,6,2,0,1
506,6674,12,6,2,2,1
507,6790,12,6,2,2,1
508,6825,12,6,2,2,1
509,6872,12,6,2,2,1
510,6945,12,6,2,2,1
511,7051,12,6,2,2,1
512,7067,12,6,2,2,1
