cycle,pc,alu,valu,load,store,flow
0,0,0,0,2,0,1
1,10254,0,1,2,0,1
2,10255,1,0,2,0,0
3,10256,5,1,2,0,0
4,10257,9,4,2,0,0
5,10258,12,6,2,0,0
6,10259,12,6,2,0,0
7,10260,12,6,2,0,0
8,10261,12,6,2,0,0
9,10262,12,6,1,0,0
10,10263,12,6,0,0,0
11,10264,12,6,1,0,0
12,10265,12,6,1,0,0
13,10266,12,6,2,0,0
14,10267,12,6,2,0,1
15,10268,12,6,2,0,1
16,10269,12,6,1,1,0
17,10270,12,6,0,0,0
18,10271,12,6,2,0,1
19,10272,12,6,2,0,1
20,10273,12,6,1,2,1
21,10274,12,6,1,0,1
22,10275,12,6,1,1,1
23,10276,12,6,0,0,1
24,10277,12,6,0,0,1
25,10278,12,6,2,0,1
26,10279,12,6,2,0,1
27,10280,12,6,2,2,1
28,10281,12,6,2,0,1
29,10282,12,6,2,0,1
30,10283,12,6,2,0,1
31,10284,12,6,2,0,1
32,10285,12,6,2,0,1
33,10286,12,6,2,2,1
34,10287,12,6,2,0,1
35,10288,12,6,2,1,1
36,10289,12,6,2,2,1
37,10290,12,6,2,0,1
38,10291,12,6,2,2,1
39,10292,12,6,2,0,1
40,10293,12,6,2,2,1
41,2588,12,6,0,2,1
42,2651,12,6,0,2,1
43,2760,12,6,0,2,1
44,2816,12,6,0,2,1
45,2848,12,6,0,2,1
46,2919,12,6,0,2,1
47,2976,12,6,0,2,1
48,3070,12,6,0,2,1
49,3134,12,6,2,2,1
50,3202,12,6,0,2,1
51,3227,12,6,0,2,1
52,3315,12,6,0,2,1
53,3394,12,6,0,2,1
54,3459,12,6,0,2,1
55,3475,12,6,2,2,1
56,3588,12,6,2,2,1
57,10294,12,6,2,2,1
58,10295,12,6,2,2,1
59,149,12,6,1,2,1
60,152,12,6,0,2,1
61,161,12,6,0,2,1
62,173,12,6,0,2,1
63,180,12,6,0,2,1
64,186,12,6,0,2,1
65,197,12,6,0,2,1
66,200,12,6,2,2,1
67,10296,12,6,2,0,1
68,10297,12,6,2,2,1
69,10298,12,6,2,2,1
70,10299,12,6,2,2,1
71,10300,12,6,2,0,1
72,10301,12,6,2,0,1
73,10302,12,6,2,2,1
74,10303,12,6,2,1,1
75,10304,12,6,2,0,1
76,10305,12,6,0,0,1
77,10306,12,6,2,0,1
78,10307,12,6,2,0,1
79,10308,12,6,2,0,1
80,10309,12,6,2,0,1
81,10310,12,6,2,0,1
82,10311,12,6,2,2,1
83,10312,12,6,2,2,1
84,10313,12,6,2,2,1
85,10314,12,6,2,2,1
86,10315,12,6,2,0,1
87,10316,12,6,2,2,1
88,10317,12,6,2,2,1
89,10318,12,6,2,2,1
90,10319,12,6,2,2,1
91,10320,12,6,2,2,1
92,10321,12,6,2,2,1
93,20,12,6,2,2,1
94,26,12,6,2,2,1
95,35,12,6,2,2,1
96,45,12,6,2,2,1
97,51,12,6,2,2,1
98,61,12,6,2,2,1
99,68,12,6,2,2,1
100,70,12,6,2,2,1
101,10322,12,6,2,2,1
102,10323,12,6,2,2,1
103,10324,12,6,2,0,1
104,10325,12,6,2,0,1
105,10326,12,6,2,0,1
106,207,12,6,2,2,1
107,214,12,6,2,2,1
108,222,12,6,2,2,1
109,235,12,6,2,2,1
110,243,12,6,2,2,1
111,247,12,6,2,2,1
112,256,12,6,2,2,1
113,264,12,6,2,2,1
114,10327,12,6,2,0,1
